DateTime,Extractor,Folder,PCAP File,Runtime (s),Avg_CPU_Usage (%),Avg_Memory_Usage (MB),Max_Memory_Usage (MB),CPU Cores,CPU Logical Cores,Total Memory (MB),Available Memory (MB)
2025-02-19 10:21:41,rustiflow,/data/monday,sample_100k,0.2892324924468994,0.0,8.1015625,8.1015625,16,32,48228.4453125,46507.390625
2025-02-19 10:21:41,rustiflow,/data/monday,sample_500k,2.099452018737793,105.3,17.5390625,23.046875,16,32,48228.4453125,46494.6953125
2025-02-19 10:21:43,rustiflow,/data/monday,sample_1M,4.3998026847839355,105.75999999999999,19.5265625,23.375,16,32,48228.4453125,46495.51171875
2025-02-19 10:21:48,rustiflow,/data/monday,sample_2M,8.391717910766602,119.86666666666666,23.768229166666668,32.32421875,16,32,48228.4453125,46492.0390625
2025-02-19 10:21:56,rustiflow,/data/monday,sample_4M,16.79414677619934,130.31176470588233,27.240119485294116,39.11328125,16,32,48228.4453125,46496.89453125
2025-02-19 10:22:13,rustiflow,/data/monday,sample_8M,29.66883659362793,172.5633333333333,39.79661458333333,76.87109375,16,32,48228.4453125,46548.14453125
2025-02-19 10:22:43,rustiflow,/data/tuesday,sample_100k,0.24396705627441406,0.0,8.5703125,8.5703125,16,32,48228.4453125,46543.078125
2025-02-19 10:22:43,rustiflow,/data/tuesday,sample_500k,1.6920087337493896,113.6,16.521484375,25.43359375,16,32,48228.4453125,46516.76953125
2025-02-19 10:22:45,rustiflow,/data/tuesday,sample_1M,3.9958112239837646,136.075,23.6044921875,31.50390625,16,32,48228.4453125,46520.99609375
2025-02-19 10:22:49,rustiflow,/data/tuesday,sample_2M,8.631215333938599,129.2888888888889,30.31857638888889,37.98046875,16,32,48228.4453125,46510.2265625
2025-02-19 10:22:57,rustiflow,/data/tuesday,sample_4M,19.76743793487549,121.42999999999998,34.9009765625,48.3828125,16,32,48228.4453125,46509.69921875
2025-02-19 10:23:17,rustiflow,/data/tuesday,sample_8M,26.173546075820923,178.41153846153844,44.67097355769231,64.26953125,16,32,48228.4453125,46526.78125
2025-02-19 10:23:43,rustiflow,/data/wednesday,sample_100k,0.42918848991394043,0.0,7.26953125,7.26953125,16,32,48228.4453125,46518.2578125
2025-02-19 10:23:44,rustiflow,/data/wednesday,sample_500k,2.207707405090332,77.03333333333333,10.865885416666666,14.0625,16,32,48228.4453125,46516.0234375
2025-02-19 10:23:46,rustiflow,/data/wednesday,sample_1M,4.865327596664429,90.14,12.75546875,16.14453125,16,32,48228.4453125,46515.25
2025-02-19 10:23:51,rustiflow,/data/wednesday,sample_2M,9.370906114578247,110.85999999999999,18.452734375,25.296875,16,32,48228.4453125,46513.3359375
2025-02-19 10:24:00,rustiflow,/data/wednesday,sample_4M,19.644531726837158,110.80499999999999,23.4486328125,30.92578125,16,32,48228.4453125,46539.26953125
2025-02-19 10:24:20,rustiflow,/data/wednesday,sample_8M,34.785577058792114,150.18857142857138,39.39732142857143,90.21484375,16,32,48228.4453125,46541.50390625
2025-02-19 10:24:55,rustiflow,/data/thursday,sample_100k,0.3301093578338623,0.0,8.46875,8.46875,16,32,48228.4453125,46545.6875
2025-02-19 10:24:55,rustiflow,/data/thursday,sample_500k,2.32047963142395,85.36666666666667,15.998697916666666,20.9296875,16,32,48228.4453125,46533.98828125
2025-02-19 10:24:57,rustiflow,/data/thursday,sample_1M,4.547150373458862,102.68000000000002,19.1109375,23.47265625,16,32,48228.4453125,46528.08203125
2025-02-19 10:25:02,rustiflow,/data/thursday,sample_2M,9.58107042312622,108.62,23.067578125,31.1953125,16,32,48228.4453125,46513.984375
2025-02-19 10:25:11,rustiflow,/data/thursday,sample_4M,18.51913595199585,131.44736842105263,26.502261513157894,34.40625,16,32,48228.4453125,46547.21875
2025-02-19 10:25:30,rustiflow,/data/thursday,sample_8M,32.392805099487305,172.396875,30.3734130859375,54.8828125,16,32,48228.4453125,46561.828125
2025-02-19 10:26:02,rustiflow,/data/friday,sample_100k,0.3473334312438965,0.0,7.31640625,7.31640625,16,32,48228.4453125,46563.6640625
2025-02-19 10:26:03,rustiflow,/data/friday,sample_500k,2.1163015365600586,98.36666666666667,15.286458333333334,21.46875,16,32,48228.4453125,46440.55078125
2025-02-19 10:26:05,rustiflow,/data/friday,sample_1M,4.229133605957031,112.17999999999999,18.61171875,23.26171875,16,32,48228.4453125,46539.07421875
2025-02-19 10:26:09,rustiflow,/data/friday,sample_2M,9.187952756881714,107.39000000000001,23.276171875,26.94921875,16,32,48228.4453125,46532.4921875
2025-02-19 10:26:18,rustiflow,/data/friday,sample_4M,18.643078327178955,128.7105263157895,26.318873355263158,32.85546875,16,32,48228.4453125,46523.8515625
2025-02-19 10:26:37,rustiflow,/data/friday,sample_8M,28.590724229812622,201.06896551724142,35.179552801724135,61.25,16,32,48228.4453125,46543.09375
2025-02-19 10:29:28,rustiflow,/data/cicids2017,cicids2017,158.65928506851196,244.12165605095535,130.47362659235668,194.1640625,16,32,48228.4453125,46541.42578125
2025-02-19 10:32:06,rustiflow,/data/cicids2017,cicids2017,161.1540822982788,250.07062499999998,119.5345947265625,170.88671875,16,32,48228.4453125,46501.4609375
2025-02-19 10:34:48,rustiflow,/data/cicids2017,cicids2017,168.1127417087555,242.6090361445784,128.66815700301206,193.9765625,16,32,48228.4453125,46561.55078125
2025-02-19 10:37:36,rustiflow,/data/cicids2017,cicids2017,190.33539962768555,216.316402116402,139.51789847883597,192.75390625,16,32,48228.4453125,46562.90234375
