Protocol,Count,Size
IPv6,1014,85568
IPv4,105,47096
IPv4/UDP,31984,3999684
Ethernet,2770,358915
IPv4/TCP,961274,1154846821
IPv6/UDP,2853,411054
Total,1000000,1159749138
