FLOW_ID,IP_SOURCE,PORT_SOURCE,IP_DESTINATION,PORT_DESTINATION,PROTOCOL,FIRST_TIMESTAMP,LAST_TIMESTAMP,DURATION,FWD_PACKET_COUNT,BWD_PACKET_COUNT,FWD_PKT_LEN_TOT,BWD_PKT_LEN_TOT,FWD_PKT_LEN_MAX,FWD_PKT_LEN_MIN,FWD_PKT_LEN_MEAN,FWD_PKT_LEN_STD,BWD_PKT_LEN_MAX,BWD_PKT_LEN_MIN,BWD_PKT_LEN_MEAN,BWD_PKT_LEN_STD,FLOW_BYTES_S,FLOW_PACKETS_S,FLOW_IAT_MEAN,FLOW_IAT_STD,FLOW_IAT_MAX,FLOW_IAT_MIN,FWD_IAT_TOTAL,FWD_IAT_MEAN,FWD_IAT_STD,FWD_IAT_MAX,FWD_IAT_MIN,BWD_IAT_TOTAL,BWD_IAT_MEAN,BWD_IAT_STD,BWD_IAT_MAX,BWD_IAT_MIN,FWD_PSH_FLAG_COUNT,BWD_PSH_FLAG_COUNT,FWD_URG_FLAG_COUNT,BWD_URG_FLAG_COUNT,FWD_HEADER_LENGTH,BWD_HEADER_LENGTH,FWD_PACKETS_S,BWD_PACKETS_S,FLOW_PACKET_LENGTH_MIN,FLOW_PACKET_LENGTH_MAX,FLOW_PACKET_LENGTH_MEAN,FLOW_PACKET_LENGTH_STD,FLOW_PACKET_LENGTH_VARIANCE,FLOW_FIN_COUNT,FLOW_SYN_COUNT,FLOW_RST_COUNT,FLOW_PSH_COUNT,FLOW_ACK_COUNT,FLOW_URG_COUNT,FLOW_CWE_COUNT,FLOW_ECE_COUNT,DOWN_UP_RATIO,FLOW_SEGMENT_LENGTH_MEAN,FWD_SEGMENT_LENGTH_MEAN,BWD_SEGMENT_LENGTH_MEAN,FWD_HEADER_LENGTH,FWD_BYTES_BULK,FWD_PACKETS_BULK,FWD_BULK_RATE,BWD_BYTES_BULK,BWD_PACKETS_BULK,BWD_BULK_RATE,SF_FWD_PACKETS,SF_FWD_BYTES,SF_BWD_PACKETS,SF_BWD_BYTES,FWD_INIT_WIN_BYTES,BWD_INIT_WIN_BYTES,FWD_ACT_DATA_PKT,FWD_HEADER_LEN_MIN,ACTIVE_MEAN,ACTIVE_STD,ACTIVE_MAX,ACTIVE_MIN,IDLE_MEAN,IDLE_STD,IDLE_MAX,IDLE_MIN
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601799620 UTC,2025-02-05 11:08:54.601804605 UTC,4,2,0,120,0,60,60,60,0,0,0,0,0,0.00003,0.0000005,4.985,0,4.985,4.985,4.985,4.985,0,4.985,4.985,0,0,0,0,0,0,0,0,0,40,0,0.0000005,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601805660 UTC,2025-02-05 11:08:54.601805660 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601805660 UTC,2025-02-05 11:08:54.601851811 UTC,46,2,0,120,0,60,60,60,0,0,0,0,0,0.0000026086956521739132,0.00000004347826086956522,46.151,0,46.151,46.151,46.151,46.151,0,46.151,46.151,0,0,0,0,0,0,0,0,0,40,0,0.00000004347826086956522,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601854333 UTC,2025-02-05 11:08:54.601854333 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601854333 UTC,2025-02-05 11:08:54.601855156 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.823,0,0.823,0.823,0.823,0.823,0,0.823,0.823,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601856016 UTC,2025-02-05 11:08:54.601856016 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601856016 UTC,2025-02-05 11:08:54.601856786 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.77,0,0.77,0.77,0.77,0.77,0,0.77,0.77,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601902798 UTC,2025-02-05 11:08:54.601902798 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601902798 UTC,2025-02-05 11:08:54.601905285 UTC,2,2,0,120,0,60,60,60,0,0,0,0,0,0.00006,0.000001,2.487,0,2.487,2.487,2.487,2.487,0,2.487,2.487,0,0,0,0,0,0,0,0,0,40,0,0.000001,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601906093 UTC,2025-02-05 11:08:54.601906093 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601906093 UTC,2025-02-05 11:08:54.601906941 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.848,0,0.848,0.848,0.848,0.848,0,0.848,0.848,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601907833 UTC,2025-02-05 11:08:54.601907833 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601907833 UTC,2025-02-05 11:08:54.601908634 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.801,0,0.801,0.801,0.801,0.801,0,0.801,0.801,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601909521 UTC,2025-02-05 11:08:54.601909521 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.601909521 UTC,2025-02-05 11:08:54.602084480 UTC,174,2,0,120,0,60,60,60,0,0,0,0,0,0.0000006896551724137931,0.000000011494252873563218,174.959,0,174.959,174.959,174.959,174.959,0,174.959,174.959,0,0,0,0,0,0,0,0,0,40,0,0.000000011494252873563218,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602086388 UTC,2025-02-05 11:08:54.602086388 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602086388 UTC,2025-02-05 11:08:54.602087251 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.863,0,0.863,0.863,0.863,0.863,0,0.863,0.863,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602087976 UTC,2025-02-05 11:08:54.602087976 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602087976 UTC,2025-02-05 11:08:54.602088786 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.81,0,0.81,0.81,0.81,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602089590 UTC,2025-02-05 11:08:54.602089590 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602089590 UTC,2025-02-05 11:08:54.602090330 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.74,0,0.74,0.74,0.74,0.74,0,0.74,0.74,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602091136 UTC,2025-02-05 11:08:54.602091136 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602091136 UTC,2025-02-05 11:08:54.602091952 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.816,0,0.816,0.816,0.816,0.816,0,0.816,0.816,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602092747 UTC,2025-02-05 11:08:54.602092747 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602092747 UTC,2025-02-05 11:08:54.602093541 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.794,0,0.794,0.794,0.794,0.794,0,0.794,0.794,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602198863 UTC,2025-02-05 11:08:54.602198863 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602198863 UTC,2025-02-05 11:08:54.602200402 UTC,1,2,0,120,0,60,60,60,0,0,0,0,0,0.00012,0.000002,1.539,0,1.539,1.539,1.539,1.539,0,1.539,1.539,0,0,0,0,0,0,0,0,0,40,0,0.000002,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602201268 UTC,2025-02-05 11:08:54.602201268 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602201268 UTC,2025-02-05 11:08:54.602202078 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.81,0,0.81,0.81,0.81,0.81,0,0.81,0.81,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602202934 UTC,2025-02-05 11:08:54.602202934 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602202934 UTC,2025-02-05 11:08:54.602203666 UTC,0,2,0,120,0,60,60,60,0,0,0,0,0,inf,inf,0.732,0,0.732,0.732,0.732,0.732,0,0.732,0.732,0,0,0,0,0,0,0,0,0,40,0,inf,NaN,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602258386 UTC,2025-02-05 11:08:54.602258386 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602258386 UTC,2025-02-05 11:08:54.602259801 UTC,1,2,0,120,0,60,60,60,0,0,0,0,0,0.00012,0.000002,1.415,0,1.415,1.415,1.415,1.415,0,1.415,1.415,0,0,0,0,0,0,0,0,0,40,0,0.000002,0,60,60,60,0,0,0,0,2,0,0,0,0,0,0,80,80,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
192.168.0.2:20756-192.168.0.1:1232-6,192.168.0.2,20756,192.168.0.1,1232,6,2025-02-05 11:08:54.602260570 UTC,2025-02-05 11:08:54.602260570 UTC,0,1,0,60,0,60,60,60,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,inf,NaN,60,60,60,0,0,0,0,1,0,0,0,0,0,0,80,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0
