Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.0703125,22,1,0,0
2,117.8,110.171875,22,30,21,582
3,102.8,110.51953125,22,30,21,884
4,104.8,110.66796875,22,30,21,1201
5,104.8,110.69921875,22,31,22,1513
6,105.8,110.875,22,31,22,1828
