Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,category,subcategory,scenario,label
192.168.19.139:41102-192.168.249.84:22-6,192.168.19.139,41102,192.168.249.84,22,6,2025-03-11 15:16:50.986144 UTC,10275354,22,34,1912,2745,640,0,86.9090909090909,134.5223567397253,976,0,80.73529411764706,211.26611443216922,738.1740813990448,5.449933890355505,186818.18181818182,511174.01736889733,2100000,0,10275000,489285.71428571426,760722.5351665377,2143000,0,10275000,311363.63636363635,630419.7648311853,2100000,0,16,15,0,0,0,0,712,1096,2.1410454569253767,3.308888433430128,0,976,83.16071428571429,184.978838247757,34217.17059948985,2,2,0,31,55,0,0,0,1.5454545454545454,83.16071428571429,86.9090909090909,80.73529411764706,0,0,0,0,0,0,3.6666666666666665,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10275.354,0,10275.354,10275.354,0,0,0,0,-1,-1,0,0,0,10275354,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:34112-192.168.249.84:22-6,192.168.19.139,34112,192.168.249.84,22,6,2025-03-11 15:17:01.392959 UTC,10628655,20,34,1912,2745,640,0,95.6,138.1124179789783,976,0,80.73529411764706,211.26611443216922,703.8519925616176,5.080605212983205,200547.16981132075,543080.3674511334,2141000,0,10629000,559421.052631579,818906.8011870892,2184000,0,10629000,322090.90909090906,659287.2351276065,2141000,0,16,15,0,0,0,0,648,1096,1.8817056344382237,3.1988995785449803,0,976,86.24074074074075,187.66685762622862,35218.84945130316,2,2,0,31,53,0,0,0,1.7,86.24074074074075,95.6,80.73529411764706,0,0,0,0,0,0,3.3333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10628.655,0,10628.655,10628.655,0,0,0,0,-1,-1,0,0,0,10628655,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:34090-192.168.249.84:22-6,192.168.19.139,34090,192.168.249.84,22,6,2025-03-11 15:17:01.360531 UTC,10663561,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,716.1772694881195,5.345306319343042,190428.57142857142,530699.6008350963,2143000,0,10664000,484727.27272727276,784508.194627702,2184000,0,10664000,323151.51515151514,659754.1379163181,2143000,0,16,15,0,0,0,0,744,1096,2.1568779885068414,3.1884283308362003,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10663.561,0,10663.561,10663.561,0,0,0,0,-1,-1,0,0,0,10663561,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:34134-192.168.249.84:22-6,192.168.19.139,34134,192.168.249.84,22,6,2025-03-11 15:17:01.437779 UTC,11196942,20,34,1928,2745,640,0,96.4,138.15874927054026,976,0,80.73529411764706,211.26611443216922,669.5578131957815,4.8227453531508875,211264.1509433963,567298.7682768487,1945000,0,11197000,589315.7894736842,851584.9033686714,1988000,1000,11197000,339303.0303030303,688155.1747507764,1945000,0,16,15,0,0,0,0,648,1096,1.7862019826484767,3.0365433705024105,0,976,86.53703703703704,187.69466072665716,35229.28566529494,2,2,0,31,53,0,0,0,1.7,86.53703703703704,96.4,80.73529411764706,0,0,0,0,0,0,3.3333333333333335,321.3333333333333,5.666666666666667,457.5,64800,64260,16,15,32,32,11196.942,0,11196.942,11196.942,0,0,0,0,-1,-1,0,0,0,11196942,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:44156-192.168.249.84:22-6,192.168.19.139,44156,192.168.249.84,22,6,2025-03-11 15:17:12.143445 UTC,12093721,21,34,1912,2745,640,0,91.04761904761905,136.31283214949642,976,0,80.73529411764706,211.26611443216922,622.8852145671295,4.547814522924748,223962.96296296295,617799.6487824067,2452000,0,12094000,604700,924509.7133075454,2498000,0,12094000,366484.8484848485,756589.3614713626,2452000,0,16,15,0,0,0,0,680,1096,1.736438272389449,2.8113762505352984,0,976,84.67272727272727,186.30962055337832,34711.27471074381,2,2,0,31,54,0,0,0,1.619047619047619,84.67272727272727,91.04761904761905,80.73529411764706,0,0,0,0,0,0,3.5,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,12093.721,0,12093.721,12093.721,0,0,0,0,-1,-1,0,0,0,12093721,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:57082-192.168.249.84:22-6,192.168.19.139,57082,192.168.249.84,22,6,2025-03-11 15:17:12.754922 UTC,11529695,20,32,1912,2745,640,0,95.6,138.1124179789783,976,0,85.78125,216.7720194084962,639.8261185573426,4.510093285208325,226078.43137254904,610241.9591854371,2455000,0,11530000,606842.1052631579,906861.9266551114,2500000,0,11530000,371935.48387096776,747315.3212574035,2455000,0,16,15,0,0,0,0,648,1032,1.7346512635416635,2.7754420216666618,0,976,89.5576923076923,190.46354521590985,36276.362056212936,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0,0,0,0,0,0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,32,11529.695,0,11529.695,11529.695,0,0,0,0,-1,-1,0,0,0,11529695,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:51774-192.168.249.84:22-6,192.168.19.139,51774,192.168.249.84,22,6,2025-03-11 15:17:24.342219 UTC,4635777,14,15,1272,2153,640,0,90.85714285714286,168.07092769034708,976,0,143.53333333333333,303.89973492730934,1067.5664511040975,6.255693490001784,165535.7142857143,556539.0810396784,2200000,0,4635000,356538.46153846156,803071.5664424949,2248000,0,4635000,331071.4285714286,751812.7107470426,2200000,0,8,7,0,0,0,0,456,488,3.0199899606905163,3.2357035293112677,0,976,118.10344827586206,249.1979333544108,62099.60998810936,2,2,0,15,28,0,0,0,1.0714285714285714,118.10344827586206,90.85714285714286,143.53333333333333,0,0,0,0,0,0,7,636,7.5,1076.5,64800,64260,8,7,32,32,4635.777,0,4635.777,4635.777,0,0,0,0,-1,-1,0,0,0,4635777,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:51802-192.168.249.84:22-6,192.168.19.139,51802,192.168.249.84,22,6,2025-03-11 15:17:24.366326 UTC,4686483,15,17,1272,2153,640,0,84.8,163.946007372346,976,0,126.6470588235294,289.18566012297566,1089.3030018459472,6.828148101678807,151161.29032258064,531079.3086253201,2203000,0,4686000,334714.28571428574,776681.6252099542,2249000,0,4686000,292875,711010.8890692183,2203000,0,8,7,0,0,0,0,488,552,3.200694422661941,3.6274536790168663,0,976,107.03124999999999,239.71408547149977,57462.8427734375,2,2,0,15,31,0,0,0,1.1333333333333333,107.03124999999999,84.8,126.6470588235294,0,0,0,0,0,0,7.5,636,8.5,1076.5,64800,64260,8,7,32,32,4686.483,0,4686.483,4686.483,0,0,0,0,-1,-1,0,0,0,4686483,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:51834-192.168.249.84:22-6,192.168.19.139,51834,192.168.249.84,22,6,2025-03-11 15:17:24.439226 UTC,4688218,14,17,1272,2153,640,0,90.85714285714286,168.07092769034708,976,0,126.6470588235294,289.18566012297566,1077.8082418522347,6.612320502160949,156266.6666666667,539489.7548198256,2204000,0,4688000,360615.3846153846,801809.4477695711,2250000,0,4688000,293000,711494.8172685447,2204000,0,8,7,0,0,0,0,456,552,2.9862092590404288,3.6261112431205205,0,976,110.48387096774192,242.76536806843495,58935.0239334027,2,2,0,15,30,0,0,0,1.2142857142857142,110.48387096774192,90.85714285714286,126.6470588235294,0,0,0,0,0,0,7,636,8.5,1076.5,64800,64260,8,7,32,32,4688.218,0,4688.218,4688.218,0,0,0,0,-1,-1,0,0,0,4688218,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:51878-192.168.249.84:22-6,192.168.19.139,51878,192.168.249.84,22,6,2025-03-11 15:17:29.037943 UTC,12143348,20,32,1912,2745,640,0,95.6,138.1124179789783,976,0,85.78125,216.7720194084962,607.4930900440307,4.282179840353748,238117.64705882352,636003.8428499895,2439000,0,12144000,639157.8947368421,941072.0238199733,2482000,0,12144000,391741.93548387097,778062.3147671208,2439000,0,16,15,0,0,0,0,648,1032,1.646992246289903,2.635187594063845,0,976,89.5576923076923,190.46354521590985,36276.362056212936,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0,0,0,0,0,0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,32,12143.348,0,12143.348,12143.348,0,0,0,0,-1,-1,0,0,0,12143348,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
