id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,subcategory,scenario,label,category
553,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,60326,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706759748,1741706772580,12832,52,7409,1741706759748,1741706772580,12832,20,2992,1741706759748,1741706772580,12832,32,4417,52,142.48076923076923,192.22704002570433,1028,52,149.6,141.5130271109528,692,52,138.03125,220.1445982830963,1028,0,251.60784313725495,679.0359660115619,2603,0,675.3684210526316,1021.2941251463651,2651,0,413.9354838709677,836.1365094083569,2603,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
554,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,33990,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706741541,1741706755159,13618,52,7425,1741706741541,1741706755159,13618,20,3008,1741706741542,1741706755159,13617,32,4417,52,142.78846153846155,192.24885185801236,1028,52,150.4,141.54872696447381,692,52,138.03125,220.1445982830963,1028,0,267.0196078431373,716.8275801110357,2391,0,716.7368421052632,1074.8412721113375,2437,0,439.25806451612897,882.2172055959136,2391,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
555,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,58382,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706767444,1741706781420,13976,52,7425,1741706767444,1741706781420,13976,20,3008,1741706767444,1741706781420,13976,32,4417,52,142.78846153846155,192.2488518580123,1028,52,150.39999999999998,141.54872696447381,692,52,138.03125,220.1445982830963,1028,0,274.0392156862745,740.8088271824065,2608,0,735.578947368421,1111.5678274796007,2652,0,450.83870967741933,912.3432138098831,2608,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
556,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,58400,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706768208,1741706780568,12360,54,7529,1741706768208,1741706780567,12359,22,3112,1741706768208,1741706780568,12360,32,4417,52,139.42592592592592,189.37908492156743,1028,52,141.45454545454547,137.71769857997376,692,52,138.03125,220.1445982830963,1028,0,233.20754716981133,638.7064860533046,2354,0,588.5238095238095,945.4238001577716,2398,0,398.7096774193549,799.4644121138597,2354,2,0,0,0,53,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
557,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,58424,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706768773,1741706781381,12608,55,7565,1741706768773,1741706781381,12608,22,3096,1741706768773,1741706781381,12608,33,4469,52,137.5454545454545,187.95850785053779,1028,52,140.72727272727272,137.6351913118367,692,52,135.42424242424244,217.19447367264988,1028,0,233.48148148148152,649.289735039722,2347,0,600.3809523809525,971.3324084056125,2397,0,394.0,809.6711797728993,2347,2,0,0,0,54,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,33,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
558,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,58460,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706772208,1741706785430,13222,52,7377,1741706772208,1741706785430,13222,20,2960,1741706772208,1741706785430,13222,32,4417,52,141.86538461538458,192.18190207239311,1028,52,148.00000000000003,141.42731069537567,692,52,138.03125,220.1445982830963,1028,0,259.2549019607843,700.2459808706438,2451,0,695.8947368421052,1050.9135123911558,2497,0,426.51612903225805,862.3309832837868,2451,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
559,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,46172,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706772735,1741706786504,13769,52,7425,1741706772735,1741706786504,13769,20,3008,1741706772735,1741706786504,13769,32,4417,52,142.78846153846155,192.24885185801236,1028,52,150.4,141.54872696447384,692,52,138.03125,220.1445982830963,1028,0,269.9803921568627,729.4047570504617,2589,0,724.6842105263158,1094.7938949933089,2633,0,444.16129032258067,898.2577988073799,2589,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
560,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,46178,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706780007,1741706784492,4485,29,4949,1741706780007,1741706784492,4485,14,2008,1741706780007,1741706784492,4485,15,2941,52,170.65517241379308,253.35100945160602,1028,52,143.42857142857144,174.10770949471052,692,52,196.0666666666667,314.3120530088954,1028,0,160.17857142857144,554.3290274150548,2455,0,345.00000000000006,815.6693570313893,2501,0,320.3571428571429,763.8965503001303,2455,2,0,0,0,28,15,0,2,1,0,0,0,13,8,0,1,1,0,0,0,15,7,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
561,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,45262,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706810687,1741706822916,12229,52,7457,1741706810687,1741706822916,12229,20,3040,1741706810687,1741706822916,12229,32,4417,52,143.40384615384613,192.29096209277253,1028,52,152.0,141.6058280097108,692,52,138.03125,220.1445982830963,1028,0,239.78431372549022,644.0214069027671,2393,0,643.6315789473686,968.3208955326462,2437,0,394.483870967742,792.645060161135,2393,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
562,0,192.168.19.139,ee:ee:ee:ee:ee:ee,ee:ee:ee,60282,192.168.249.84,da:22:9f:3b:9c:2e,da:22:9f,22,6,4,0,0,1741706756205,1741706768010,11805,52,7425,1741706756205,1741706768010,11805,20,3008,1741706756205,1741706768010,11805,32,4417,52,142.78846153846155,192.24885185801233,1028,52,150.39999999999998,141.54872696447381,692,52,138.03125,220.1445982830963,1028,0,231.47058823529412,619.8272131147897,2174,0,621.3157894736842,931.5394697090034,2219,0,380.8064516129032,762.6369349983357,2174,2,0,0,0,51,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,32,15,0,1,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
