id,expiration_id,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label,category,subcategory,scenario
192.168.19.139:34056-192.168.249.84:22-6,0,192.168.19.139,34056,192.168.249.84,22,6,1741706221338,1741706231967,10629,54,7497,1741706221338,1741706231967,10629,22,3080,1741706221338,1741706231967,10629,32,4417,52,138.83333333333334,187.56408781277153,1028,52,140.00000000000003,134.3861464721583,692,52,138.03125,216.6775375377834,1028,0,200.54716981132074,543.5676197208322,2142,0,506.14285714285717,796.3509806321214,2184,0,342.8709677419355,675.7028236816253,2142,2,0,0,0,53,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34112-192.168.249.84:22-6,0,192.168.19.139,34112,192.168.249.84,22,6,1741706221392,1741706232021,10628,54,7481,1741706221392,1741706232021,10629,20,2960,1741706221392,1741706232021,10629,34,4521,52,138.53703703703704,187.53673348449797,1028,52,148,137.84629120872273,692,52,132.97058823529412,211.18050340242343,1028,0,200.54716981132074,543.0803674511334,2141,0,559.421052631579,818.9068011870892,2184,0,322.09090909090907,659.2872351276066,2141,2,0,0,0,53,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34090-192.168.249.84:22-6,0,192.168.19.139,34090,192.168.249.84,22,6,1741706221360,1741706232024,10663,57,7637,1741706221360,1741706232024,10664,23,3116,1741706221360,1741706232024,10664,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,190.42857142857142,530.6996008350964,2143,0,484.72727272727275,784.508194627702,2184,0,323.1515151515151,659.7541379163181,2143,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34134-192.168.249.84:22-6,0,192.168.19.139,34134,192.168.249.84,22,6,1741706221437,1741706232634,11196,54,7497,1741706221437,1741706232634,11197,20,2976,1741706221437,1741706232634,11197,34,4521,52,138.83333333333334,187.56408781277133,1028,52,148.8,137.89039125334295,692,52,132.97058823529412,211.18050340242343,1028,0,211.2641509433963,567.2987682768487,1945,1,589.3157894736842,851.5849033686715,1988,0,339.30303030303025,688.1551747507764,1945,2,0,0,0,53,31,0,2,1,0,0,0,19,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34080-192.168.249.84:22-6,0,192.168.19.139,34080,192.168.249.84,22,6,1741706221359,1741706231993,10634,55,7533,1741706221359,1741706231993,10634,23,3116,1741706221359,1741706231993,10634,32,4417,52,136.96363636363637,186.18338600192155,1028,52,135.47826086956522,132.54592955067952,692,52,138.03125,216.6775375377834,1028,0,196.92592592592592,537.5707309827496,2136,0,483.3636363636364,784.645753622414,2184,0,343.03225806451616,673.3692120476037,2136,2,0,0,0,54,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34066-192.168.249.84:22-6,0,192.168.19.139,34066,192.168.249.84,22,6,1741706221340,1741706232017,10677,55,7533,1741706221340,1741706232017,10677,23,3116,1741706221340,1741706232017,10677,32,4417,52,136.96363636363637,186.18338600192155,1028,52,135.47826086956522,132.54592955067952,692,52,138.03125,216.6775375377834,1028,0,197.72222222222223,538.4867485788872,2140,0,485.3181818181818,784.0294745366074,2183,0,344.4193548387097,674.4327974936181,2140,2,0,0,0,54,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34126-192.168.249.84:22-6,0,192.168.19.139,34126,192.168.249.84,22,6,1741706221398,1741706232135,10737,56,7585,1741706221398,1741706232135,10737,22,3064,1741706221398,1741706232135,10737,34,4521,52,135.44642857142858,184.8563070954279,1028,52,139.27272727272725,134.29756033057274,692,52,132.97058823529412,211.18050340242343,1028,0,195.21818181818182,535.3067324919795,1946,0,511.2857142857143,796.2052345408212,1988,0,325.3636363636364,659.8687113763189,1946,2,0,0,0,55,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34088-192.168.249.84:22-6,0,192.168.19.139,34088,192.168.249.84,22,6,1741706221359,1741706232014,10655,57,7653,1741706221359,1741706232014,10655,23,3132,1741706221359,1741706232014,10655,34,4521,52,134.26315789473685,183.58826227776115,1028,52,136.17391304347825,132.65176777330842,692,52,132.97058823529412,211.18050340242343,1028,0,190.26785714285714,530.3009418875631,2141,0,484.3181818181818,784.2650518081265,2183,0,322.8787878787879,659.2725907725767,2141,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34130-192.168.249.84:22-6,0,192.168.19.139,34130,192.168.249.84,22,6,1741706221400,1741706232132,10731,54,7481,1741706221400,1741706232132,10732,22,3064,1741706221400,1741706232132,10732,32,4417,52,138.53703703703704,187.53673348449814,1028,52,139.27272727272725,134.29756033057265,692,52,138.03125,216.6775375377834,1028,0,202.49056603773585,545.4253532324441,1947,0,511.04761904761904,798.0004461265297,1989,0,346.1935483870968,677.5097865906578,1947,2,0,0,0,53,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:34096-192.168.249.84:22-6,0,192.168.19.139,34096,192.168.249.84,22,6,1741706221368,1741706232135,10767,56,7585,1741706221368,1741706232135,10767,22,3064,1741706221368,1741706232135,10767,34,4521,52,135.44642857142858,184.8563070954279,1028,52,139.27272727272725,134.29756033057274,692,52,132.97058823529412,211.18050340242343,1028,0,195.76363636363635,535.2850714979776,1947,0,512.7142857142857,795.5055980083266,1988,0,326.27272727272725,659.6797327963466,1947,2,0,0,0,55,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
