Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label,label,category,subcategory,scenario
192.168.19.139-192.168.249.84-49594-22-6,192.168.19.139,49594,192.168.249.84,22,6,2025-03-11 15:24:15.608852,4139950,14,15,1272.0,2153.0,640.0,0.0,90.85714285714285,174.415444421494,976.0,0.0,143.53333333333333,314.56611084991033,827.3046775927246,7.004915518303362,147855.35714285716,503136.13376855716,1959603.0,19.0,4139950.0,318457.6923076923,742955.3106540554,2005233.0,367.0,4139498.0,295678.4285714286,692290.4649423606,1959603.0,78.0,8,7,0,0,0,0,456,488,3.381683353663692,3.6232321646396697,0.0,976.0,118.10344827586204,253.60885868196803,64317.45320197043,2,2,0,15,28,0,0,0,1.0714285714285714,118.10344827586206,90.85714285714286,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,636.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4139950,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-40972-22-6,192.168.19.139,40972,192.168.249.84,22,6,2025-03-11 15:24:56.741914,4575044,15,17,1272.0,2153.0,640.0,0.0,84.8,169.7002399190155,976.0,0.0,126.64705882352943,298.0857555252495,748.6266798745542,6.994468249922842,147582.06451612903,529307.6138495103,2254772.0,21.0,4575044.0,326788.8571428571,790783.8814084178,2299724.0,451.0,4573806.0,285862.875,720234.037228814,2254772.0,70.0,8,7,0,0,0,0,488,552,3.2786569921513324,3.71581125777151,0.0,976.0,107.03125,243.54975438891995,59316.48286290323,2,2,0,15,31,0,0,0,1.1333333333333333,107.03125,84.8,126.6470588235294,0.0,0.0,0.0,0.0,0.0,0.0,7.5,636.0,8.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4575044,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-33912-22-6,192.168.19.139,33912,192.168.249.84,22,6,2025-03-11 15:27:46.211214,4092842,14,15,1272.0,2153.0,640.0,0.0,90.85714285714285,174.415444421494,976.0,0.0,143.53333333333333,314.56611084991033,836.8268308427249,7.085541049471248,146172.92857142858,493991.8667674247,1923392.0,17.0,4092842.0,314834.0,729530.7842839807,1968835.0,368.0,4092475.0,292319.64285714284,679310.8562452899,1923392.0,107.0,8,7,0,0,0,0,456,488,3.420606023882671,3.6649350255885764,0.0,976.0,118.10344827586204,253.60885868196803,64317.45320197043,2,2,0,15,28,0,0,0,1.0714285714285714,118.10344827586206,90.85714285714286,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,636.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4092842,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-53374-22-6,192.168.19.139,53374,192.168.249.84,22,6,2025-03-11 15:20:02.515872,14138359,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,329.3875901722399,3.677937446630122,277222.7254901961,749853.4332477803,2579983.0,22.0,1.4138331E7,744122.6842105263,1124963.6372930782,2622790.0,403.0,1.4138309E7,456074.4838709677,923534.5494199218,2579983.0,105.0,16,15,0,0,0,0,648,1032,1.41459132562697,2.263346121003152,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,14138359,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-54948-22-6,192.168.19.139,54948,192.168.249.84,22,6,2025-03-11 15:20:23.506110,12310508,22,33,1912.0,2745.0,640.0,0.0,86.9090909090909,137.6880217810952,976.0,0.0,83.18181818181819,217.2857356318884,378.2947056287198,4.467727895550695,227972.3703703704,640754.2262480134,2379666.0,21.0,1.2310473E7,586213.0,960863.3064052869,2428304.0,322.0,1.2310471E7,384702.2187500001,799868.6584317466,2379666.0,97.0,16,15,0,0,0,0,712,1064,1.7870911582202782,2.680636737330417,0.0,976.0,84.67272727272726,188.02679621340167,35354.07609427608,2,2,0,31,54,0,0,0,1.5,84.67272727272727,86.9090909090909,83.18181818181819,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,318.6666666666667,5.5,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,12310508,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-41070-22-6,192.168.19.139,41070,192.168.249.84,22,6,2025-03-11 15:25:01.272482,12594560,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,369.7628182326338,4.128766705625286,246952.15686274512,665409.0922749515,2548482.0,18.0,1.2594529E7,662869.947368421,1000922.7857736788,2592444.0,359.0,1.2594541E7,406275.51612903236,819235.7454258153,2548482.0,46.0,16,15,0,0,0,0,648,1032,1.5879871944712638,2.5407795111540223,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,12594560,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-39882-22-6,192.168.19.139,39882,192.168.249.84,22,6,2025-03-11 15:19:36.622383,14247685,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,326.86011797706084,3.6497157257477264,279366.37254901964,753852.9458386952,2616464.0,19.0,1.4247657E7,749876.6842105263,1129176.5850717677,2660121.0,363.0,1.4247655E7,459601.7741935485,928252.4046846565,2616464.0,62.0,16,15,0,0,0,0,648,1032,1.4037368175952794,2.245978908152447,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,14247685,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-54622-22-6,192.168.19.139,54622,192.168.249.84,22,6,2025-03-11 15:22:59.495396,3140735,14,15,1304.0,2153.0,640.0,0.0,93.14285714285712,174.58471919335946,976.0,0.0,143.53333333333333,314.56611084991033,1100.6977666055875,9.233507443321388,112169.10714285713,375984.38404671557,1655343.0,23.0,3140735.0,241594.99999999997,564953.9826708602,1748401.0,345.0,3140105.0,224293.21428571432,516822.84961977485,1655343.0,56.0,8,7,0,0,0,0,456,488,4.457555317465498,4.77595212585589,0.0,976.0,119.20689655172414,253.54280834806698,64283.95566502462,2,2,0,15,28,0,0,0,1.0714285714285714,119.20689655172414,93.14285714285714,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,652.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,3140735,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-38774-22-6,192.168.19.139,38774,192.168.249.84,22,6,2025-03-11 15:22:25.661516,12041376,20,32,2008.0,2745.0,640.0,0.0,100.39999999999998,141.9141326740631,976.0,0.0,85.78125,220.24059195973427,394.72233073695236,4.3184433406946185,236105.41176470587,641390.508038907,2460340.0,24.0,1.2041352E7,633755.3684210526,967197.3088155977,2506211.0,510.0,1.204134E7,388430.32258064515,790305.9954155473,2460340.0,70.0,16,15,0,0,0,0,648,1032,1.6609397464210072,2.6575035942736114,0.0,976.0,91.40384615384617,192.45404438619448,37038.55920060332,2,2,0,31,51,0,0,0,1.6,91.40384615384616,100.4,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,334.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,12041376,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-47200-22-6,192.168.19.139,47200,192.168.249.84,22,6,2025-03-11 15:23:51.434902,11929188,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,390.38700706200626,4.359056123518214,233905.64705882355,632080.9053676538,2484308.0,21.0,1.192916E7,627850.5263157894,952511.9253027386,2530240.0,429.0,1.1929135E7,384810.80645161285,778422.6884933583,2484308.0,72.0,16,15,0,0,0,0,648,1032,1.6765600475070055,2.682496076011209,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,11929188,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-52600-22-6,192.168.19.139,52600,192.168.249.84,22,6,2025-03-11 15:24:29.959577,11637926,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,400.157210142082,4.468150081036776,228194.62745098045,615941.7112298844,2290942.0,19.0,1.16379E7,612521.0526315789,927797.1546790862,2336176.0,322.0,1.1637904E7,375416.2580645161,758460.8345933654,2290942.0,61.0,16,15,0,0,0,0,648,1032,1.7185192619372214,2.749630819099554,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,11637926,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
