Protocol,Count,Size
IPv6,1014,85568
IPv4,105,47096
IPv4/UDP,35673,4430874
Ethernet,3206,408123
IPv4/TCP,1956863,2433082738
IPv6/UDP,3139,457490
Total,2000000,2438511889
