Protocol,Count,Size
IPv6/UDP,2820,407637
IPv6,1014,85568
IPv4,105,47096
IPv4/UDP,29426,3705156
Ethernet,2509,331731
IPv4/TCP,464126,523629409
Total,500000,528206597
