Protocol,Count,Size
IPv4,154,80990
IPv4/UDP,124551,15158400
Ethernet,8518,982758
IPv4/TCP,3859401,4641333273
IPv6/UDP,6362,925145
IPv6,1014,85568
Total,4000000,4658566134
