Protocol,Count,Size
IPv4,919,309583
IPv4/UDP,612891,73535874
IPv4/SCTP,62,4092
Ethernet,44738,5060229
IPv4/TCP,7317037,6840690344
IPv6/UDP,23339,3574479
IPv6,1014,85568
Total,8000000,6923260169
