  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
17:20:34  12207.17      0.00
17:20:35  12207.41      0.00
17:20:36  12206.43      0.00
17:20:37  12206.74      0.00
17:20:38  12208.10      0.00
17:20:39  12206.63      0.00
17:20:40  12206.60      0.00
17:20:41  12207.53      0.00
17:20:42  12207.68      0.00
17:20:43  12206.74      0.00
17:20:44  12207.15      0.00
17:20:45  12206.89      0.00
17:20:46  12206.48      0.00
17:20:47  12206.93      0.00
17:20:48  12207.24      0.00
17:20:49  12207.46      0.00
17:20:50  12207.38      0.00
17:20:51  12206.12      0.00
17:20:52  12206.69      0.00
17:20:53  12207.83      0.00
17:20:54  12207.45      0.00
17:20:55  12206.13      0.00
17:20:56  12207.13      0.00
17:20:57  12208.14      0.00
17:20:58  12205.71      0.00
17:20:59  12207.39      0.00
17:21:00  12206.54      0.00
17:21:01  12208.48      0.00
17:21:02  12205.86      0.00
17:21:03  12207.18      0.00
17:21:04  12206.80      0.00
17:21:05  12207.36      0.00
17:21:06  12207.73      0.00
17:21:07  12206.86      0.00
17:21:08  12206.14      0.00
17:21:09  12207.86      0.00
17:21:10  12207.43      0.00
17:21:11  12206.52      0.00
17:21:12  12207.30      0.00
17:21:13  12205.93      0.00
17:21:14  12207.40      0.00
17:21:15  12207.90      0.00
17:21:16  12205.96      0.00
17:21:17  12208.22      0.00
17:21:18  12205.88      0.00
17:21:19  12207.49      0.00
17:21:20  12206.82      0.00
17:21:21  12207.63      0.00
17:21:22  12206.93      0.00
17:21:23  12206.75      0.00
17:21:24  12207.27      0.00
17:21:25  12207.75      0.00
17:21:26  12205.98      0.00
17:21:27  12207.75      0.00
17:21:28  12206.80      0.00
17:21:29  12207.47      0.00
17:21:30  12206.08      0.00
17:21:31  12207.53      0.00
17:21:32  12207.05      0.00
17:21:33  12206.30      0.00
17:21:34  12207.89      0.00
17:21:35  12207.11      0.00
17:21:36  12206.89      0.00
17:21:37  12207.50      0.00
17:21:38  12206.50      0.00
17:21:39  12207.00      0.00
17:21:40  12206.35      0.00
17:21:41  12206.95      0.00
17:21:42  12208.20      0.00
17:21:43  12206.48      0.00
17:21:44  12207.36      0.00
17:21:45  12207.22      0.00
17:21:46  12206.72      0.00
17:21:47  12207.28      0.00
17:21:48  12207.39      0.00
17:21:49  12206.41      0.00
17:21:50  12207.30      0.00
17:21:51  12206.11      0.00
17:21:52  12208.10      0.00
17:21:53  12206.55      0.00
17:21:54  12207.47      0.00
17:21:55  12207.17      0.00
17:21:56  12206.43      0.00
17:21:57  12207.54      0.00
17:21:58  12207.08      0.00
17:21:59  11120.22      0.42
