Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,subcategory,scenario,label,category
192.168.249.73:44909-192.168.19.166:4848-6,192.168.249.73,44909,192.168.19.166,4848,6,2025-03-11 15:16:18.029355 UTC,51,1,1,0,0,0,0,0,0,0,0,0,0,1647058.8235294118,39215.686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,19607.843137254902,19607.843137254902,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.051,0,0.051,0.051,0,0,0,0,-1,-1,0,0,0,51,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:9011-6,192.168.249.73,44909,192.168.19.166,9011,6,2025-03-11 15:16:18.029723 UTC,54,1,1,0,0,0,0,0,0,0,0,0,0,1555555.5555555555,37037.03703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,18518.51851851852,18518.51851851852,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.054,0,0.054,0.054,0,0,0,0,-1,-1,0,0,0,54,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:3998-6,192.168.249.73,44909,192.168.19.166,3998,6,2025-03-11 15:16:18.029733 UTC,51,1,1,0,0,0,0,0,0,0,0,0,0,1647058.8235294118,39215.686274509804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,19607.843137254902,19607.843137254902,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.051,0,0.051,0.051,0,0,0,0,-1,-1,0,0,0,51,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:720-6,192.168.249.73,44909,192.168.19.166,720,6,2025-03-11 15:16:18.030064 UTC,49,1,1,0,0,0,0,0,0,0,0,0,0,1714285.7142857143,40816.32653061225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,20408.163265306124,20408.163265306124,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.049,0,0.049,0.049,0,0,0,0,-1,-1,0,0,0,49,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:10024-6,192.168.249.73,44909,192.168.19.166,10024,6,2025-03-11 15:16:18.030233 UTC,45,1,1,0,0,0,0,0,0,0,0,0,0,1866666.6666666665,44444.444444444445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,22222.222222222223,22222.222222222223,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.045,0,0.045,0.045,0,0,0,0,-1,-1,0,0,0,45,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:16080-6,192.168.249.73,44909,192.168.19.166,16080,6,2025-03-11 15:16:18.030394 UTC,81,1,1,0,0,0,0,0,0,0,0,0,0,1037037.037037037,24691.358024691355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,12345.679012345678,12345.679012345678,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.081,0,0.081,0.081,0,0,0,0,-1,-1,0,0,0,81,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:4279-6,192.168.249.73,44909,192.168.19.166,4279,6,2025-03-11 15:16:18.030607 UTC,58,1,1,0,0,0,0,0,0,0,0,0,0,1448275.8620689656,34482.75862068965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,17241.379310344826,17241.379310344826,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.058,0,0.058,0.058,0,0,0,0,-1,-1,0,0,0,58,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:9575-6,192.168.249.73,44909,192.168.19.166,9575,6,2025-03-11 15:16:18.031713 UTC,41,1,1,0,0,0,0,0,0,0,0,0,0,2048780.487804878,48780.487804878045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,24390.243902439022,24390.243902439022,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.041,0,0.041,0.041,0,0,0,0,-1,-1,0,0,0,41,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1138-6,192.168.249.73,44909,192.168.19.166,1138,6,2025-03-11 15:16:18.031825 UTC,61,1,1,0,0,0,0,0,0,0,0,0,0,1377049.1803278688,32786.88524590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,16393.44262295082,16393.44262295082,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.061,0,0.061,0.061,0,0,0,0,-1,-1,0,0,0,61,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:9071-6,192.168.249.73,44909,192.168.19.166,9071,6,2025-03-11 15:16:18.032463 UTC,80,1,1,0,0,0,0,0,0,0,0,0,0,1050000,24999.999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,12499.999999999998,12499.999999999998,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.08,0,0.08,0.08,0,0,0,0,-1,-1,0,0,0,80,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:32770-6,192.168.249.73,44909,192.168.19.166,32770,6,2025-03-11 15:16:18.032737 UTC,97,1,1,0,0,0,0,0,0,0,0,0,0,865979.381443299,20618.556701030928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,10309.278350515464,10309.278350515464,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.097,0,0.097,0.097,0,0,0,0,-1,-1,0,0,0,97,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1271-6,192.168.249.73,44909,192.168.19.166,1271,6,2025-03-11 15:16:18.032768 UTC,100,1,1,0,0,0,0,0,0,0,0,0,0,840000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,10000,10000,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.1,0,0.1,0.1,0,0,0,0,-1,-1,0,0,0,100,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:9200-6,192.168.249.73,44909,192.168.19.166,9200,6,2025-03-11 15:16:18.033098 UTC,115,1,1,0,0,0,0,0,0,0,0,0,0,730434.7826086957,17391.304347826088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,8695.652173913044,8695.652173913044,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.115,0,0.115,0.115,0,0,0,0,-1,-1,0,0,0,115,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:5963-6,192.168.249.73,44909,192.168.19.166,5963,6,2025-03-11 15:16:18.033911 UTC,139,1,1,0,0,0,0,0,0,0,0,0,0,604316.54676259,14388.489208633095,1000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,7194.244604316547,7194.244604316547,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.139,0,0.139,0.139,0,0,0,0,-1,-1,0,0,0,139,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:5906-6,192.168.249.73,44909,192.168.19.166,5906,6,2025-03-11 15:16:18.033931 UTC,141,1,1,0,0,0,0,0,0,0,0,0,0,595744.6808510638,14184.397163120566,1000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,7092.198581560283,7092.198581560283,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.141,0,0.141,0.141,0,0,0,0,-1,-1,0,0,0,141,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:22939-6,192.168.249.73,44909,192.168.19.166,22939,6,2025-03-11 15:16:18.035009 UTC,86,1,1,0,0,0,0,0,0,0,0,0,0,976744.1860465116,23255.81395348837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,11627.906976744185,11627.906976744185,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.086,0,0.086,0.086,0,0,0,0,-1,-1,0,0,0,86,nmap,nmap_A_T4,1,port-scan
