Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label,label,category,subcategory,scenario
192.168.249.73-192.168.19.166-0-0-1,192.168.249.73,0,192.168.19.166,0,1,2025-03-11 15:16:27.107797,25008,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.9616122840691,12504.0,17642.31419060436,24979.0,29.0,25008.0,25008.0,0.0,25008.0,25008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9744081893794,39.9872040946897,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.19.166,0,192.168.249.73,0,1,2025-03-11 15:16:27.132836,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40643-80-6,192.168.249.73,40643,192.168.19.166,80,6,2025-03-11 15:16:24.968264,406,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7389.162561576355,203.0,231.93102422918759,367.0,39.0,406.0,406.0,0.0,406.0,406.0,0,0,0,0,0,0,0,0,0,1,0,52,32,4926.108374384236,2463.054187192118,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,64800,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,406,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40648-1-6,192.168.249.73,40648,192.168.19.166,1,6,2025-03-11 15:16:25.068768,42,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,20,23809.52380952381,23809.52380952381,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31337,0,0,0,40,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,42,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40631-80-6,192.168.249.73,40631,192.168.19.166,80,6,2025-03-11 15:16:26.582075,448,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6696.428571428572,224.0,224.8599564173221,383.0,65.0,448.0,448.0,0.0,448.0,448.0,0,0,0,0,0,0,0,0,0,1,0,60,40,4464.285714285715,2232.1428571428573,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,448,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40632-80-6,192.168.249.73,40632,192.168.19.166,80,6,2025-03-11 15:16:26.682215,576,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5208.333333333333,288.0,289.9137802864845,493.0,83.0,576.0,576.0,0.0,576.0,576.0,0,0,0,0,0,0,0,0,0,1,0,60,40,3472.222222222222,1736.111111111111,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,576,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40633-80-6,192.168.249.73,40633,192.168.19.166,80,6,2025-03-11 15:16:26.782223,369,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.081300813007,184.5,194.45436482630058,322.0,47.0,369.0,369.0,0.0,369.0,369.0,0,0,0,0,0,0,0,0,0,1,0,60,40,5420.054200542005,2710.0271002710024,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,369,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40634-80-6,192.168.249.73,40634,192.168.19.166,80,6,2025-03-11 15:16:26.882387,461,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6507.5921908893715,230.5,207.18228688765842,377.0,84.0,461.0,461.0,0.0,461.0,461.0,0,0,0,0,0,0,0,0,0,1,0,56,40,4338.394793926247,2169.1973969631235,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,461,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40635-80-6,192.168.249.73,40635,192.168.19.166,80,6,2025-03-11 15:16:26.982375,340,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8823.529411764704,170.0,182.43354954612926,299.0,41.0,340.0,340.0,0.0,340.0,340.0,0,0,0,0,0,0,0,0,0,1,0,60,40,5882.35294117647,2941.176470588235,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,340,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40636-80-6,192.168.249.73,40636,192.168.19.166,80,6,2025-03-11 15:16:27.082573,358,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8379.888268156425,179.0,183.84776310850236,309.0,49.0,358.0,358.0,0.0,358.0,358.0,0,0,0,0,0,0,0,0,0,1,0,56,36,5586.59217877095,2793.296089385475,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,358,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
