  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
11:02:13  12208.05      0.00
11:02:14  12206.93      0.00
11:02:15  12206.73      0.00
11:02:16  12207.92      0.00
11:02:17  12206.36      0.00
11:02:18  12207.61      0.00
11:02:19  12206.74      0.00
11:02:20  12206.30      0.00
11:02:21  12206.95      0.00
11:02:22  12207.58      0.00
11:02:23  12206.22      0.00
11:02:24  12207.74      0.00
11:02:25  12206.98      0.00
11:02:26  12207.86      0.00
11:02:27  12205.64      0.00
11:02:28  12207.87      0.00
11:02:29  12207.47      0.00
11:02:30  12206.96      0.00
11:02:31  12207.00      0.00
11:02:32  12207.11      0.00
11:02:33  12206.11      0.00
11:02:34  12208.17      0.00
11:02:35  12206.84      0.00
11:02:36  12207.11      0.00
11:02:37  12206.10      0.00
11:02:38  12207.84      0.00
11:02:39  12206.53      0.00
11:02:40  12206.92      0.00
11:02:41  12206.35      0.00
11:02:42  12207.28      0.00
11:02:43  12207.77      0.00
11:02:44  12207.32      0.00
11:02:45  12206.86      0.00
11:02:46  12207.13      0.00
11:02:47  12206.86      0.00
11:02:48  12207.28      0.00
11:02:49  12207.11      0.00
11:02:50  12206.01      0.00
11:02:51  12207.91      0.00
11:02:52  12206.66      0.00
11:02:53  12206.58      0.00
11:02:54  12208.38      0.00
11:02:55  12206.44      0.00
11:02:56  12206.92      0.00
11:02:57  12206.93      0.00
11:02:58  12207.01      0.00
11:02:59  12206.61      0.00
11:03:00  12207.30      0.00
11:03:01  12206.69      0.00
11:03:02  12208.33      0.00
11:03:03  12206.25      0.00
11:03:04  12207.13      0.00
11:03:05  12206.28      0.00
11:03:06  12207.60      0.00
11:03:07  12206.80      0.00
11:03:08  12207.48      0.00
11:03:09  12206.86      0.00
11:03:10  12206.94      0.00
11:03:11  12207.09      0.00
11:03:12  12207.58      0.00
11:03:13  12206.92      0.00
11:03:14  12206.23      0.00
11:03:15  12206.63      0.00
11:03:16  12207.80      0.00
11:03:17  12207.16      0.00
11:03:18  12206.92      0.00
11:03:19  12207.39      0.00
11:03:20  12207.43      0.00
11:03:21  12206.50      0.00
11:03:22  12206.97      0.00
11:03:23  12207.58      0.00
11:03:24  12206.46      0.00
11:03:25  12207.33      0.00
11:03:26  12207.72      0.00
11:03:27  12206.39      0.00
11:03:28  12206.81      0.00
11:03:29  12206.75      0.00
11:03:30  12207.62      0.00
11:03:31  12206.13      0.00
11:03:32  12207.70      0.00
11:03:33  12206.79      0.00
11:03:34  12207.25      0.00
11:03:35  12207.21      0.00
11:03:36  12206.95      0.00
11:03:37  12207.67      0.00
11:03:38  11343.53      0.42
