Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.515625,11,1,1,2
2,338.7,200.77734375,11,47,39,21
3,251.3,379.22265625,11,47,39,21
4,121.7,428.37109375,11,47,39,21
5,678.2,564.890625,11,47,39,21
6,554.1,591.12890625,11,47,39,21
7,640.4,606.7578125,11,47,39,21
8,660.2,636.39453125,11,47,39,21
9,742.0,659.4765625,11,47,39,21
10,762.0,678.890625,11,47,39,21
