  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
16:10:35    122.82      0.00
16:10:36    121.51      0.00
16:10:37    121.91      0.00
16:10:38    121.84      0.00
16:10:39    123.46      0.00
16:10:40    121.82      0.00
16:10:41    121.83      0.00
16:10:42    122.42      0.00
16:10:43    121.44      0.00
16:10:44    122.59      0.00
16:10:45    122.30      0.00
16:10:46    120.84      0.00
16:10:47    122.75      0.00
16:10:48    122.37      0.00
16:10:49    122.09      0.00
16:10:50    121.06      0.00
16:10:51    122.66      0.00
16:10:52    122.75      0.00
16:10:53    121.42      0.00
16:10:54    122.65      0.00
16:10:55    121.06      0.00
16:10:56    123.29      0.00
16:10:57    121.80      0.00
16:10:58    121.77      0.00
16:10:59    121.56      0.00
16:11:00    123.20      0.00
16:11:01    122.07      0.00
16:11:02    121.85      0.00
16:11:03    121.40      0.00
16:11:04    122.56      0.00
16:11:05    121.91      0.00
16:11:06    122.02      0.00
16:11:07    122.72      0.00
16:11:08    120.75      0.00
16:11:09    123.08      0.00
16:11:10    121.72      0.00
16:11:11    121.44      0.00
16:11:12    123.39      0.00
16:11:13    121.57      0.00
16:11:14    122.28      0.00
16:11:15    122.38      0.00
16:11:16    121.44      0.00
16:11:17    121.89      0.00
16:11:18    122.84      0.00
16:11:19    120.88      0.00
16:11:20    122.83      0.00
16:11:21    122.25      0.00
16:11:22    122.51      0.00
16:11:23    120.85      0.00
16:11:24    121.97      0.00
16:11:25    122.27      0.00
16:11:26    123.30      0.00
16:11:27    122.09      0.00
16:11:28    120.72      0.00
16:11:29    123.24      0.00
16:11:30    120.87      0.00
16:11:31    123.32      0.00
16:11:32    120.83      0.00
16:11:33    123.43      0.00
16:11:34    121.99      0.00
16:11:35    121.99      0.00
16:11:36    121.84      0.00
16:11:37    122.23      0.00
16:11:38    122.12      0.00
16:11:39    121.37      0.00
16:11:40    122.08      0.00
16:11:41    122.88      0.00
16:11:42    122.12      0.00
16:11:43    121.08      0.00
16:11:44    122.94      0.00
16:11:45    114.00      0.42
16:11:46      0.00      0.00
16:11:47      0.00      0.00
16:11:48      0.00      0.00
16:11:49      0.00      0.00
