Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,1.42578125
2,272.8,14.984375
3,179.9,16.203125
4,176.9,16.25390625
5,144.9,16.296875
6,168.9,16.30859375
7,167.9,16.30859375
