Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.99609375,22,1,0,0
2,0.0,3.15625,22,1,1,1
3,0.0,3.15625,22,1,1,1
