Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.42578125,29,1,0,0
2,201.8,11.16796875,29,33,2,2386
3,163.9,12.14453125,29,33,2,5170
4,171.8,12.14453125,29,33,2,8002
5,148.9,12.14453125,31,33,2,10290
6,152.9,12.14453125,13,33,2,12329
7,134.8,12.26171875,13,33,2,14338
8,142.9,12.265625,15,33,2,16307
9,136.9,12.265625,24,33,2,18284
10,158.8,12.28125,25,33,2,20244
11,148.9,12.28125,25,33,2,22460
12,264.7,15.02734375,26,33,2,24333
13,121.9,15.02734375,26,33,2,27336
14,301.7,15.4453125,27,33,2,28631
