  Time           eno3       
HH:MM:SS   KB/s in  KB/s out
16:44:19   1220.24      0.00
16:44:20   1220.66      0.00
16:44:21   1221.90      0.00
16:44:22   1220.92      0.00
16:44:23   1219.47      0.00
16:44:24   1220.97      0.00
16:44:25   1220.52      0.00
16:44:26   1221.92      0.00
16:44:27   1219.21      0.00
16:44:28   1222.07      0.00
16:44:29   1219.33      0.00
16:44:30   1220.78      0.00
16:44:31   1221.42      0.00
16:44:32   1220.78      0.00
16:44:33   1220.07      0.00
16:44:34   1220.87      0.00
16:44:35   1221.30      0.00
16:44:36   1220.26      0.00
16:44:37   1221.21      0.00
16:44:38   1220.23      0.00
16:44:39   1220.81      0.00
16:44:40   1220.49      0.00
16:44:41   1220.52      0.00
16:44:42   1221.56      0.00
16:44:43   1220.75      0.00
16:44:44   1220.29      0.00
16:44:45   1221.28      0.00
16:44:46   1220.74      0.00
16:44:47   1219.71      0.00
16:44:48   1221.26      0.00
16:44:49   1221.05      0.00
16:44:50   1219.54      0.00
16:44:51   1220.99      0.00
16:44:52   1221.72      0.00
16:44:53   1220.73      0.00
16:44:54   1220.52      0.00
16:44:55   1221.07      0.00
16:44:56   1220.23      0.00
16:44:57   1219.83      0.00
16:44:58   1221.18      0.00
16:44:59   1221.67      0.00
16:45:00   1219.68      0.00
16:45:01   1221.47      0.00
16:45:02   1219.57      0.00
16:45:03   1221.52      0.00
16:45:04   1220.62      0.00
16:45:05   1220.51      0.00
16:45:06   1220.58      0.00
16:45:07   1221.39      0.00
16:45:08   1220.99      0.00
16:45:09   1220.43      0.00
16:45:10   1220.58      0.00
16:45:11   1219.78      0.00
16:45:12   1220.63      0.00
16:45:13   1220.71      0.00
16:45:14   1220.80      0.00
16:45:15   1221.59      0.00
16:45:16   1219.69      0.00
16:45:17   1222.10      0.00
16:45:18   1219.50      0.00
16:45:19   1221.41      0.00
16:45:20   1220.21      0.00
16:45:21   1220.48      0.00
16:45:22   1222.16      0.00
16:45:23   1219.79      0.00
16:45:24   1221.61      0.00
16:45:25   1219.44      0.00
16:45:26   1221.98      0.00
16:45:27   1220.40      0.00
16:45:28   1220.74      0.00
16:45:29   1220.90      0.00
16:45:30   1219.78      0.00
16:45:31   1220.84      0.00
16:45:32   1220.22      0.00
16:45:33   1221.96      0.00
16:45:34   1219.38      0.00
16:45:35   1221.32      0.00
16:45:36   1221.14      0.00
16:45:37   1220.74      0.00
16:45:38   1220.29      0.00
16:45:39   1220.06      0.00
16:45:40   1221.79      0.00
16:45:41   1220.84      0.00
16:45:42   1219.85      0.00
16:45:43   1221.19      0.00
16:45:44   1220.32      0.00
16:45:45   1220.50      0.00
16:45:46   1220.99      0.00
16:45:47   1220.10      0.00
16:45:48   1221.80      0.00
16:45:49   1219.69      0.00
16:45:50   1222.06      0.00
16:45:51   1219.41      0.00
16:45:52   1221.25      0.00
16:45:53   1220.97      0.00
16:45:54   1221.04      0.00
16:45:55   1220.17      0.00
16:45:56   1220.39      0.00
16:45:57   1221.94      0.00
16:45:58   1219.87      0.00
16:45:59   1221.42      0.00
16:46:00   1219.75      0.00
16:46:01   1221.66      0.00
16:46:02   1219.37      0.00
16:46:03   1221.05      0.00
16:46:04   1220.70      0.00
16:46:05   1220.98      0.00
16:46:06   1220.79      0.00
16:46:07   1221.45      0.00
16:46:08   1220.44      0.00
16:46:09   1220.65      0.00
16:46:10   1219.86      0.00
16:46:11   1220.57      0.00
16:46:12   1221.96      0.00
16:46:13   1220.42      0.00
16:46:14   1220.54      0.00
16:46:15   1219.81      0.00
16:46:16   1221.14      0.00
16:46:17   1220.44      0.00
16:46:18   1220.71      0.00
16:46:19   1220.88      0.00
16:46:20   1221.18      0.00
16:46:21   1221.20      0.00
16:46:22   1219.83      0.00
16:46:23   1221.66      0.00
16:46:24   1219.92      0.00
16:46:25   1221.21      0.00
16:46:26   1220.91      0.00
16:46:27   1219.67      0.00
16:46:28   1221.88      0.00
16:46:29   1220.43      0.00
16:46:30   1220.37      0.00
16:46:31   1221.28      0.00
16:46:32   1220.49      0.00
16:46:33   1220.22      0.00
16:46:34   1220.55      0.00
16:46:35   1220.72      0.00
16:46:36   1220.58      0.00
16:46:37   1220.83      0.00
16:46:38   1220.34      0.00
16:46:39   1221.69      0.00
16:46:40   1220.05      0.00
16:46:41   1220.53      0.00
16:46:42   1221.68      0.00
16:46:43   1219.72      0.00
16:46:44   1220.99      0.00
16:46:45   1220.26      0.00
16:46:46   1220.58      0.00
16:46:47   1221.65      0.00
16:46:48   1220.82      0.00
16:46:49   1220.37      0.00
16:46:50   1221.32      0.00
16:46:51   1220.79      0.00
16:46:52   1220.58      0.00
16:46:53   1220.25      0.00
16:46:54   1221.04      0.00
16:46:55   1220.55      0.00
16:46:56   1220.35      0.00
16:46:57   1221.37      0.00
16:46:58   1219.95      0.00
16:46:59   1220.45      0.00
16:47:00   1221.34      0.00
16:47:01   1220.96      0.00
16:47:02   1221.06      0.00
16:47:03   1220.23      0.00
16:47:04   1220.97      0.00
16:47:05   1219.87      0.00
16:47:06   1221.62      0.00
16:47:07   1220.86      0.00
16:47:08   1219.95      0.00
16:47:09   1221.30      0.00
16:47:10   1220.86      0.00
16:47:11   1219.95      0.00
16:47:12   1221.45      0.00
16:47:13   1220.25      0.00
16:47:14   1221.17      0.00
16:47:15   1219.38      0.00
16:47:16   1222.07      0.00
16:47:17   1219.47      0.00
16:47:18   1221.82      0.00
16:47:19   1219.69      0.00
16:47:20   1221.48      0.00
16:47:21   1219.76      0.00
16:47:22   1220.95      0.00
16:47:23   1221.32      0.00
16:47:24   1220.28      0.00
16:47:25   1221.21      0.00
16:47:26   1220.88      0.00
16:47:27   1220.91      0.00
16:47:28   1219.78      0.00
16:47:29   1221.51      0.00
16:47:30   1220.87      0.00
16:47:31   1220.08      0.00
16:47:32   1220.78      0.00
16:47:33   1221.45      0.00
16:47:34   1220.41      0.00
16:47:35   1219.97      0.00
16:47:36   1221.55      0.00
16:47:37   1219.82      0.00
16:47:38   1220.55      0.00
16:47:39   1221.67      0.00
16:47:40   1220.80      0.00
16:47:41   1219.78      0.00
16:47:42   1221.30      0.00
16:47:43   1219.97      0.00
16:47:44   1221.38      0.00
16:47:45   1220.05      0.00
16:47:46   1221.84      0.00
16:47:47   1219.96      0.00
16:47:48   1221.04      0.00
16:47:49   1220.69      0.00
16:47:50   1219.77      0.00
16:47:51   1221.55      0.00
16:47:52   1220.17      0.00
16:47:53   1220.68      0.00
16:47:54   1221.50      0.00
16:47:55   1221.27      0.00
16:47:56   1219.68      0.00
16:47:57   1221.56      0.00
16:47:58   1220.19      0.00
16:47:59   1220.94      0.00
16:48:00   1220.83      0.00
16:48:01   1221.01      0.00
16:48:02   1219.66      0.00
16:48:03   1221.20      0.00
16:48:04   1220.64      0.00
16:48:05   1220.81      0.00
16:48:06   1220.65      0.00
16:48:07   1220.04      0.00
16:48:08   1220.65      0.00
16:48:09   1221.94      0.00
16:48:10   1219.56      0.00
16:48:11   1221.03      0.00
16:48:12   1220.87      0.00
16:48:13   1219.99      0.00
16:48:14   1221.38      0.00
16:48:15   1220.63      0.00
16:48:16   1220.76      0.00
16:48:17   1221.42      0.00
16:48:18   1220.24      0.00
16:48:19   1219.89      0.00
16:48:20   1221.01      0.00
16:48:21   1221.44      0.00
16:48:22   1220.65      0.00
16:48:23   1221.10      0.00
16:48:24   1219.54      0.00
16:48:25   1220.87      0.00
16:48:26   1220.54      0.00
16:48:27   1221.55      0.00
16:48:28   1220.45      0.00
16:48:29   1220.93      0.00
16:48:30   1221.23      0.00
16:48:31   1219.63      0.00
16:48:32   1220.58      0.00
16:48:33   1221.09      0.00
16:48:34   1221.42      0.00
16:48:35   1220.08      0.00
16:48:36   1221.03      0.00
16:48:37   1219.93      0.00
16:48:38   1220.99      0.00
16:48:39   1220.79      0.00
16:48:40   1220.21      0.00
16:48:41   1221.75      0.00
16:48:42   1220.36      0.00
16:48:43   1220.68      0.00
16:48:44   1220.13      0.00
16:48:45   1220.99      0.00
16:48:46   1221.11      0.00
16:48:47   1220.98      0.00
