Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,1.31640625
2,157.9,6.89453125
3,146.9,9.453125
4,159.9,9.76171875
5,151.9,9.87890625
6,145.9,11.35546875
7,167.9,11.62109375
